"run_id","candidate_model_id","window_id","grid_id","diagnostic_name","diagnostic_value","diagnostic_status","review_flag","notes"
"D12F_RUN_013","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","lead/lag sample loss","3","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_RUN_013","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","residual summary statistics","min=-0.0382429319063943; q1=-0.0191334978374167; median=-0.00140729857758035; mean=-3.36026167268819e-19; q3=0.0140209889320828; max=0.0487376318558015; sd=0.0248127184141328","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_013","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","condition number warning","WARN_HIGH_CONDITION_NUMBER_1437327.43","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
"D12F_RUN_014","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","effective sample size","33","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_014","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","design rank","10","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_014","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","df residual","23","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_014","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
"D12F_RUN_014","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","lead/lag sample loss","1","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_RUN_014","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","residual summary statistics","min=-0.0622612183956719; q1=-0.0215669820101406; median=-0.000689197583269075; mean=-1.07763125022802e-18; q3=0.0160254603090227; max=0.0641725986846049; sd=0.0297576507350549","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_014","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","condition number warning","WARN_HIGH_CONDITION_NUMBER_1224940.79","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
"D12F_RUN_015","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","effective sample size","26","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_015","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","design rank","10","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_015","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","df residual","16","CONTROLLED_PRELIMINARY","WARN","D12F diagnostic only"
"D12F_RUN_015","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
"D12F_RUN_015","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","lead/lag sample loss","1","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_RUN_015","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","residual summary statistics","min=-0.0614063227617582; q1=-0.00994358077071444; median=0.0025168155065085; mean=-7.83863836303297e-19; q3=0.0122954103739973; max=0.0294280733854634; sd=0.0193500269914448","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_015","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","condition number warning","WARN_HIGH_CONDITION_NUMBER_1749919.25","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
