year,y,k_NR,k_ME,phi,s_ME,omega,omega_kME,k_CL,c_t,ECT_m,ECT_m_lag1,ECT_theta,theta_CL,g_Y,g_K_CL,g_Yp,g_mu,mu_CL
1968,16.44375368102013,17.966201546572137,17.279615073757,0.5032911381652301,0.33479285907285955,0.5394079097121091,9.320761047565115,18.373858343285395,-0.6865864728151365,-0.6221184555879287,-0.4471335869437451,0.1469216018614059,0.8257536548141438,0.03517598794761767,0.03897880552043276,0.03218689111878707,0.002989096828830598,0.940858857039897
1969,16.480286233867023,18.001907984437977,17.320874946828166,0.5060939081880377,0.3360307783177435,0.5005314522990513,8.669642692226155,18.411427467906176,-0.6810330376098115,-0.7246589064600659,-0.6221184555879287,0.12605183618779403,0.824203090246213,0.03653255284689294,0.03756912462078077,0.030964588610292595,0.005567964236600345,0.9461121369730395
1970,16.500640555722857,18.042990399155215,17.363069527596902,0.5066570817648125,0.3362789634727919,0.5092767661923354,8.84260790018723,18.45288374265049,-0.6799208715583127,-0.7444124907667797,-0.7246589064600659,0.1033987101915006,0.8237479731466587,0.020354321855833746,0.04145627474431279,0.03414952229483868,-0.013795200439004937,0.9331499439971229
1971,16.586407474257214,18.0774113971458,17.39264637340163,0.5042086927270404,0.3351986297944737,0.5623170054214746,9.780180825045871,18.48567837150951,-0.6847650237441698,-0.5792989637718895,-0.7444124907667797,0.1727167295851082,0.8249345356915954,0.08576691853435747,0.03279462885902262,0.02705342193099602,0.05871349660336145,0.9895787981850234
1972,16.57420161976761,18.10080788769807,17.400275916107695,0.4963212047704117,0.33169429343652457,0.6903477385078481,12.012241128097523,18.50381745327479,-0.700531971590376,0.17989200640244007,-0.5792989637718895,0.18858418870098337,0.829183423345501,-0.012205854489604206,0.01813908176528045,0.015040625914479197,-0.027246480404083402,0.9629802625691173
1973,16.516943008225347,18.119773860967516,17.412781128689378,0.49312492854809487,0.33026367661519607,0.5450286722310115,9.490464978418784,18.52064505221152,-0.7069927322781382,0.09076950361146884,0.17989200640244007,0.04262857372994322,0.8326206808662686,-0.05725861154226308,0.016827598936728805,0.014011006884043635,-0.07126961842630672,0.8967376078748159
1974,16.526640932623458,18.149123910370403,17.42368787958316,0.4841134345661719,0.32619705697070606,0.3944709808320595,6.873139247570836,18.543941490581236,-0.7254360307872432,-1.0573399311389051,0.09076950361146884,-0.05301767890781761,0.8401066899980932,0.009697924398111013,0.023296438369715844,0.01957149372752655,-0.009873569329415539,0.8879271737247603
1975,16.388409597099926,18.162149670903755,17.43360064079446,0.48260873305510393,0.3255132134967449,0.4927199418713367,8.589882694340345,18.55595286449186,-0.7285490301092956,-0.6573661095647214,-1.0573399311389051,-0.16230221280613133,0.8403170361528615,-0.13823133552353184,0.012011373910624457,0.010093362124699749,-0.14832469764823158,0.7655274171121955
1976,16.422987171700672,18.171384657470455,17.433166642600654,0.4779648834047762,0.3233939376852392,0.485581282901028,8.465219423341432,18.562050720177517,-0.7382180148698012,-0.7046113617426144,-0.6573661095647214,-0.14338741579345804,0.8436102291376392,0.034577574600746175,0.006097855685656128,0.005144213432224622,0.029433361168521553,0.7883943363909051
1977,16.517011773888736,18.182956191473732,17.454186637973155,0.4825023182745342,0.32546479848754173,0.5044183129122691,8.80421137718229,18.57668760712248,-0.7287695535005767,-0.3753101214095409,-0.7046113617426144,-0.052325700606375314,0.8402919450149647,0.09402460218806397,0.014636886944963123,0.012299258199947209,0.08172534398811676,0.8555322035372726
