"year","unadjusted_nos_share_gva","after_interest_surplus_share_gva","difference_gva","unadjusted_nos_share_nva","after_interest_surplus_share_nva","difference_nva","selected_interest_value"
2013,0.194173440140807,0.158375687222365,-0.0357977529184416,0.22908385854008,0.18685003212348,-0.0422338264166006,301337
2014,0.193345141989125,0.15824961964929,-0.0350955223398355,0.228220917962736,0.186794832764126,-0.0414260851986107,310655
2015,0.188563844494829,0.153373496719376,-0.0351903477754537,0.222547106391588,0.181014700795373,-0.0415324055962151,324537
2016,0.178870577717234,0.142077223620802,-0.0367933540964323,0.211475743703331,0.167975565976039,-0.0435001777272917,343885
2017,0.174849400534148,0.138829870574978,-0.0360195299591698,0.20679309555175,0.164193063307882,-0.0426000322438682,351963
2018,0.177517488240249,0.142860127740863,-0.0346573604993865,0.209594893906876,0.168674949235677,-0.0409199446711994,358281
2019,0.172397630625422,0.137877585276484,-0.0345200453489375,0.203813722781407,0.163003075166205,-0.0408106476152027,372810
2020,0.18217349982312,0.151277277047304,-0.0308962227758166,0.218068268718017,0.18108437250265,-0.0369838962153672,324369
2021,0.2117122034762,0.184676714219591,-0.0270354892566085,0.249183554688528,0.217363002046353,-0.0318205526421748,326392
2022,0.203541754118947,0.180648470245797,-0.02289328387315,0.239328367384811,0.212409997357223,-0.0269183700275874,307810
2023,0.203181745234305,0.187728278298954,-0.0154534669353506,0.239630252739014,0.221404608584113,-0.0182256441549003,218873
2024,0.199186595746558,0.185762974253759,-0.0134236214927985,0.235212596326268,0.21936110365133,-0.0158514926749372,199330
2025,0.194402199202411,0.181517841920469,-0.0128843572819417,0.229984423126808,0.214741789612349,-0.0152426335144582,201022
