year,y_t,K_ME_repaired,K_NRC_repaired,K_cap_repaired,k_ME,k_NRC,k_Kcap,g_K_ME,g_K_NRC,g_Kcap,ME_share,NRC_share,omega_NFC,omega_CORP,Q_omega,Q_MEshare,Q_q_if_retained,q_proxy_if_retained,ME_share_repaired,ME_NRC_ratio_repaired,log_ME_NRC_ratio_repaired,d_k_Kcap,d_k_NRC,Q_MEshare_Kcap,Q_omega_MEshare_Kcap,Q_MEshare_NRC,Q_omega_MEshare_NRC,Q_ME_NRC_ratio_Kcap,Q_omega_ME_NRC_ratio_Kcap,Q_ME_NRC_ratio_NRC,Q_omega_ME_NRC_ratio_NRC,Q_log_ME_NRC_ratio_Kcap,Q_omega_log_ME_NRC_ratio_Kcap,Q_log_ME_NRC_ratio_NRC,Q_omega_log_ME_NRC_ratio_NRC
2014,16.02988577423654,853220.031142216,2203723.40136602,3056943.43250824,13.656772742966906,14.605658942906583,14.932926096451926,0.064477751000286,-0.0303317978685573,-0.0047611638805129,0.2791088713218828,0.7208911286781172,0.568582031539934,0.562206465288649,2.335990126520533,0.01166441663477247,0.0017474345068006,0.018671344904756,0.27910887132188283,0.38717201560474024,-0.9488861999396765,-0.004761163880512953,-0.03033179786855733,0.01166441663477247,0.008205046149309725,-0.03475140484903594,-0.019420000828769546,0.008737498400864378,0.006575516803889174,-0.04853471062855567,-0.027400512326451132,-26.27523311316363,-16.719365926939428,-25.595855850719502,-16.298273108134293
2015,16.061920247922544,915574.04812885,2139727.79197646,3055301.84010531,13.72730652254444,14.576189178896426,14.932388947705702,0.0705337795775342,-0.0294697640101571,-0.0005371487462237,0.2996672983698698,0.7003327016301303,0.575109869197914,0.567217985504381,2.3356847133951657,0.011514493654481981,0.0017374052172947,0.0205584270479869,0.2996672983698698,0.42789276821194955,-0.8488826563519859,-0.0005371487462237923,-0.029469764010157107,0.011514493654481981,0.008119802636601638,-0.04297667742003313,-0.024096743017156825,0.008529529438109354,0.006457269388548669,-0.059944578559764226,-0.03388795821438004,-26.27472342013102,-16.719076124639486,-25.567892398334784,-16.28237359156852
2016,16.068306277745762,980790.733059923,2079217.07166972,3060007.80472964,13.796114395771083,14.547501972967188,14.933928024490553,0.0688078732266426,-0.0286872059292377,0.0015390767848515,0.3205190299005062,0.6794809700994937,0.582943530383766,0.57183540015035,2.336569851643587,0.01197570463658223,0.0017690462150973,0.0208517315306364,0.32051902990050624,0.4717115622142794,-0.751387577196105,0.0015390767848515452,-0.02868720592923779,0.01197570463658223,0.008385049624189954,-0.05157329491862793,-0.029040742582318178,0.009188089264070227,0.006836013643916028,-0.07221962651709204,-0.040947459439516956,-26.276029915720475,-16.719827503147044,-25.54354032676226,-16.268368474871743
2017,16.094975324178556,1043317.3379843,2018394.35548266,3061711.69346696,13.857915942725242,14.517812879774485,14.934484694485583,0.0618015469541592,-0.0296890931927027,0.0005566699950296,0.3407627635908752,0.6592372364091248,0.586156566953376,0.577766513666986,2.3368943588157483,0.012154127963363862,0.0017806537483848,0.020243733690369,0.34076276359087526,0.5169046054604185,-0.6598969370492441,0.0005566699950296794,-0.029689093192702742,0.012154127963363862,0.008489060348206855,-0.06108921426737873,-0.03458798620232616,0.009450676937063493,0.00698908742904598,-0.08622431504774719,-0.0491114020135021,-26.27644819063934,-16.720071333804917,-25.521232310959043,-16.25536416138356
2018,16.131633302053437,1110613.93400177,1959312.86591069,3069926.79991246,13.920423514083863,14.488104391122656,14.937164275602392,0.0625075713586209,-0.0297084886518295,0.0026795811168085,0.3617721223950485,0.6382278776049515,0.584943959084541,0.574809036253505,2.33846501288405,0.013067229429993468,0.0018348984749152,0.0210093588041732,0.3617721223950485,0.5668384836974752,-0.5676808770387918,0.0026795811168085493,-0.029708488651829512,0.013067229429993468,0.009024280769166558,-0.07121276096248431,-0.04052196957852144,0.010835764757046604,0.007800965750536216,-0.10158076965314644,-0.05811268872557829,-26.278216438010897,-16.72110780361375,-25.50162777029334,-16.243872831130254
2019,16.157940015754328,1182885.74528324,1904540.46266283,3087426.20794607,13.983467557808789,14.459751310494392,14.942848359372372,0.0630440437249255,-0.0283530806282641,0.0056840837699798,0.3831300460684248,0.6168699539315752,0.587441985101222,0.576378084153845,2.3417898833482305,0.015123572479330332,0.0019543174303117,0.0213579236733763,0.3831300460684248,0.6210872220742374,-0.47628375268560447,0.005684083769979864,-0.028353080628264138,0.015123572479330332,0.010227126213681641,-0.08147011511780937,-0.04652194692786954,0.014057722182431419,0.009685630282942644,-0.11765238688462394,-0.06751368413785007,-26.2814431836706,-16.722995268994897,-25.485532268615536,-16.234457864655386
2020,16.116045350528143,1228455.53103888,1847641.86471586,3076097.39575474,14.021268272517666,14.42942071625344,14.939172272225631,0.0378007147088776,-0.0303305942409526,-0.00367608714674,0.3993552131132931,0.6006447868867069,0.60484793205077,0.592623908718225,2.3396303954173443,0.01371515304144827,0.0018758038416149,0.0162251670448682,0.3993552131132931,0.664877514684264,-0.4081524437357734,-0.003676087146740059,-0.030330594240952635,0.01371515304144827,0.009399761503237056,-0.09309067708662826,-0.05334835291882427,0.011774551428359826,0.008344399922845774,-0.13649033140559808,-0.07857988366247781,-26.27969232308915,-16.721966739979294,-25.471086299369272,-16.22597169580465
2021,16.2083992277063,1270750.39487779,1785817.0255864,3056567.42046419,14.055118146052985,14.395386585890565,14.932803086268885,0.0338498735353187,-0.0340341303628743,-0.0063691859567462,0.4157442712926665,0.5842557287073336,0.579714486970795,0.570493812651767,2.3357780064625597,0.01117158542633366,0.0017724627355269,0.0163890581793734,0.4157442712926665,0.7115792808955441,-0.34026843983758004,-0.006369185956746293,-0.03403413036287439,0.01117158542633366,0.007861289891203676,-0.10668238447081956,-0.061569269023191556,0.007539822898876435,0.005783033128991347,-0.15911885941570625,-0.09226670203474467,-26.277092724276297,-16.72039437801318,-25.457195185891244,-16.21756968454358
2022,16.244800193580545,1294124.11123958,1725613.90183897,3019738.01307856,14.073344662302665,14.361093430259547,14.92068063495176,0.0182265162496797,-0.0342931556310173,-0.0121224513171256,0.4285550950561607,0.5714449049438393,0.56475673366441,0.555000855599031,2.328750445816423,0.006131745737214437,0.0015737871756139,0.0128108237634942,0.42855509505616074,0.7499499800392455,-0.28774876795688265,-0.012122451317125638,-0.034293155631017314,0.006131745737214437,0.004939621811410874,-0.12093956746896285,-0.06983436455060894,-0.0010862622920550687,0.0007823665779641189,-0.18352115843926453,-0.10641306829409469,-26.272967836679612,-16.718003120916254,-25.445526307327572,-16.210805066593515
2023,16.26222439279725,1329725.51119848,1667595.76170726,2997321.27290574,14.100483096340591,14.326893483433174,14.913229538720234,0.0271384340379263,-0.0341999468263729,-0.0074510962315255,0.4436379654121573,0.5563620345878427,0.565941031361275,0.555665323570836,2.324542389046488,0.0029385404834404204,0.001478332494947,0.0150828703559965,0.4436379654121573,0.7973907956189134,-0.22641038709258257,-0.007451096231525511,-0.03419994682637295,0.0029385404834404204,0.003136237642369427,-0.13559612893205475,-0.07811175632925639,-0.006674211762158123,-0.002373465512653053,-0.2091694078790462,-0.12089808987191582,-26.270823792919064,-16.716792257765213,-25.435685314764093,-16.205247299777348
2024,16.28903686325013,1380855.9516735,1610204.81282781,2991060.76450131,14.13821411969073,14.291871941806294,14.911138653186836,0.0377310233501386,-0.0350215416268806,-0.0020908855333985,0.4616609492063347,0.5383390507936653,0.56912875490843,0.55676416577035,2.3233590711312577,0.002010944279493781,0.0014467959395175,0.0180229837941774,0.4616609492063347,0.8575654107308672,-0.15365782211556422,-0.0020908855333985343,-0.03502154162688065,0.002010944279493781,0.0026112728900210625,-0.15113301440500126,-0.08690471731795775,-0.008341464641182857,-0.0033170323265483657,-0.23709526282070545,-0.13670247701924382,-26.27035039471608,-16.716524342297973,-25.42775607396777,-16.200759817063165
2025,16.319368655904782,,,,,,,,,,,,0.566460048121974,0.553057731097018,,,,,,,,,,,,,,,,,,,,,
