"asset_family","asset_label","metadata_only","age","mean_life_years","weibull_alpha","weibull_lambda","survival_probability","retirement_mass_from_prior_age"
"ME","Machinery and Equipment",FALSE,111,14,1.7,15.6907663323043,8.22682297960422e-13,4.35460869061707e-13
"ME","Machinery and Equipment",FALSE,112,14,1.7,15.6907663323043,5.36496699596483e-13,2.86185598363939e-13
"ME","Machinery and Equipment",FALSE,113,14,1.7,15.6907663323043,3.48929675042012e-13,1.87567024554471e-13
"ME","Machinery and Equipment",FALSE,114,14,1.7,15.6907663323043,2.26332961791316e-13,1.22596713250697e-13
"ME","Machinery and Equipment",FALSE,115,14,1.7,15.6907663323043,1.46419804006558e-13,7.99131577847572e-14
"ME","Machinery and Equipment",FALSE,116,14,1.7,15.6907663323043,9.44706665294577e-14,5.19491374771006e-14
"ME","Machinery and Equipment",FALSE,117,14,1.7,15.6907663323043,6.0791418512152e-14,3.36792480173057e-14
"ME","Machinery and Equipment",FALSE,118,14,1.7,15.6907663323043,3.90156347788303e-14,2.17757837333217e-14
"ME","Machinery and Equipment",FALSE,119,14,1.7,15.6907663323043,2.49740575821469e-14,1.40415771966834e-14
"ME","Machinery and Equipment",FALSE,120,14,1.7,15.6907663323043,1.59439700344565e-14,9.03008754769037e-15
"ME","Machinery and Equipment",FALSE,121,14,1.7,15.6907663323043,1.01522808986055e-14,5.79168913585107e-15
"ME","Machinery and Equipment",FALSE,122,14,1.7,15.6907663323043,6.44753060257668e-15,3.70475029602878e-15
"ME","Machinery and Equipment",FALSE,123,14,1.7,15.6907663323043,4.08402727852886e-15,2.36350332404781e-15
"ME","Machinery and Equipment",FALSE,124,14,1.7,15.6907663323043,2.58019225289387e-15,1.503835025635e-15
"ME","Machinery and Equipment",FALSE,125,14,1.7,15.6907663323043,1.6258723906409e-15,9.54319862252966e-16
"ME","Machinery and Equipment",FALSE,126,14,1.7,15.6907663323043,1.02186734176086e-15,6.04005048880039e-16
"ME","Machinery and Equipment",FALSE,127,14,1.7,15.6907663323043,6.40588217309109e-16,3.81279124451753e-16
"ME","Machinery and Equipment",FALSE,128,14,1.7,15.6907663323043,4.0053677590133e-16,2.40051441407778e-16
"ME","Machinery and Equipment",FALSE,129,14,1.7,15.6907663323043,2.49797166963987e-16,1.50739608937343e-16
"ME","Machinery and Equipment",FALSE,130,14,1.7,15.6907663323043,1.55387788874391e-16,9.44093780895963e-17
"ME","Machinery and Equipment",FALSE,131,14,1.7,15.6907663323043,9.6412448903983e-17,5.89753399704076e-17
"ME","Machinery and Equipment",FALSE,132,14,1.7,15.6907663323043,5.96676243334592e-17,3.67448245705238e-17
"ME","Machinery and Equipment",FALSE,133,14,1.7,15.6907663323043,3.68329340421276e-17,2.28346902913316e-17
"ME","Machinery and Equipment",FALSE,134,14,1.7,15.6907663323043,2.26792310710741e-17,1.41537029710535e-17
"ME","Machinery and Equipment",FALSE,135,14,1.7,15.6907663323043,1.3928914103978e-17,8.75031696709606e-18
"ME","Machinery and Equipment",FALSE,136,14,1.7,15.6907663323043,8.53307525717231e-18,5.39583884680568e-18
"ME","Machinery and Equipment",FALSE,137,14,1.7,15.6907663323043,5.21429631181972e-18,3.31877894535259e-18
"ME","Machinery and Equipment",FALSE,138,14,1.7,15.6907663323043,3.17826470340519e-18,2.03603160841453e-18
"ME","Machinery and Equipment",FALSE,139,14,1.7,15.6907663323043,1.93237334060268e-18,1.24589136280252e-18
"ME","Machinery and Equipment",FALSE,140,14,1.7,15.6907663323043,1.17192816069635e-18,7.60445179906325e-19
"ME","Machinery and Equipment",FALSE,141,14,1.7,15.6907663323043,7.0896087304095e-19,4.62967287655401e-19
"ME","Machinery and Equipment",FALSE,142,14,1.7,15.6907663323043,4.27816165896401e-19,2.81144707144548e-19
"ME","Machinery and Equipment",FALSE,143,14,1.7,15.6907663323043,2.57518279573669e-19,1.70297886322732e-19
"ME","Machinery and Equipment",FALSE,144,14,1.7,15.6907663323043,1.54624091309844e-19,1.02894188263826e-19
"ME","Machinery and Equipment",FALSE,145,14,1.7,15.6907663323043,9.26118894907614e-20,6.20122018190824e-20
"ME","Machinery and Equipment",FALSE,146,14,1.7,15.6907663323043,5.53323422586642e-20,3.72795472320972e-20
"ME","Machinery and Equipment",FALSE,147,14,1.7,15.6907663323043,3.29773921371939e-20,2.23549501214703e-20
"ME","Machinery and Equipment",FALSE,148,14,1.7,15.6907663323043,1.9605625645899e-20,1.33717664912949e-20
"ME","Machinery and Equipment",FALSE,149,14,1.7,15.6907663323043,1.16271808227316e-20,7.97844482316743e-21
"ME","Machinery and Equipment",FALSE,150,14,1.7,15.6907663323043,6.87859328478924e-21,4.74858753794233e-21
"NRC","Nonresidential Structures",FALSE,0,30,1.6,33.4606966397767,1,NA
"NRC","Nonresidential Structures",FALSE,1,30,1.6,33.4606966397767,0.996369599755467,0.00363040024453298
"NRC","Nonresidential Structures",FALSE,2,30,1.6,33.4606966397767,0.989035215396583,0.00733438435888445
"NRC","Nonresidential Structures",FALSE,3,30,1.6,33.4606966397767,0.97912791622151,0.00990729917507283
"NRC","Nonresidential Structures",FALSE,4,30,1.6,33.4606966397767,0.967129779880113,0.0119981363413966
"NRC","Nonresidential Structures",FALSE,5,30,1.6,33.4606966397767,0.953359240589135,0.0137705392909778
"NRC","Nonresidential Structures",FALSE,6,30,1.6,33.4606966397767,0.938059430434097,0.0152998101550386
"NRC","Nonresidential Structures",FALSE,7,30,1.6,33.4606966397767,0.921430611344112,0.0166288190899849
"NRC","Nonresidential Structures",FALSE,8,30,1.6,33.4606966397767,0.903645331652726,0.0177852796913857
"NRC","Nonresidential Structures",FALSE,9,30,1.6,33.4606966397767,0.884856548618275,0.0187887830344514
"NRC","Nonresidential Structures",FALSE,10,30,1.6,33.4606966397767,0.865202390135684,0.0196541584825909
"NRC","Nonresidential Structures",FALSE,11,30,1.6,33.4606966397767,0.844809130984814,0.0203932591508702
"NRC","Nonresidential Structures",FALSE,12,30,1.6,33.4606966397767,0.823793146419238,0.0210159845655761
"NRC","Nonresidential Structures",FALSE,13,30,1.6,33.4606966397767,0.802262246679933,0.0215308997393044
"NRC","Nonresidential Structures",FALSE,14,30,1.6,33.4606966397767,0.78031662090607,0.0219456257738634
