"stage_id","year","ME_support_status","NRC_support_status","CORE_support_status","core_status_rule"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1934,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1935,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1936,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1937,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1938,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1939,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1940,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1941,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1942,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1943,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1944,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1945,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1946,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1947,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1948,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1949,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1950,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1951,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1952,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1953,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
